datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20201010081430,GES,students,1,6,1,5
20201010081430,GMS,students,2,13,0,11
20201010081430,HHS,students,2,16,2,14
20201010081430,HES,students,0,4,2,4
20201010081430,HMS-FWA,students,2,25,0,23
20201010081430,NGES,students,1,4,0,3
20201010081430,HES,staff,2,3,0,1
20201010081430,HMS-FWA,staff,1,5,0,4
20201010081430,NGES,staff,0,2,0,2
20201010081430,GES,staff,2,4,0,2
20201010081430,GMS,staff,1,4,0,3
20201010081430,HHS,staff,0,2,0,2
