datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210602180002,HHS,students,0,96,0,96
20210602180002,HES,students,2,32,0,30
20210602180002,HMS-FWA,students,0,61,0,61
20210602180002,NGES,students,0,28,0,28
20210602180002,GES,students,0,41,0,41
20210602180002,GMS,students,0,47,0,47
20210602180002,HHS,staff,0,23,0,23
20210602180002,HES,staff,0,18,0,18
20210602180002,HMS-FWA,staff,0,19,0,19
20210602180002,NGES,staff,0,14,0,14
20210602180002,GES,staff,0,18,0,18
20210602180002,GMS,staff,0,10,0,10
