datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20201119211421,HHS,students,4,48,0,44
20201119211421,HES,students,0,14,0,14
20201119211421,HMS-FWA,students,0,36,0,36
20201119211421,NGES,students,1,16,0,15
20201119211421,GES,students,3,18,0,15
20201119211421,GMS,students,0,20,0,20
20201119211421,HMS-FWA,staff,1,16,0,15
20201119211421,NGES,staff,0,5,0,5
20201119211421,GES,staff,1,11,0,10
20201119211421,GMS,staff,0,4,0,4
20201119211421,HHS,staff,4,17,0,13
20201119211421,HES,staff,2,12,0,10
