datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210223142737,GES,staff,0,17,0,17
20210223142737,GMS,staff,0,10,0,10
20210223142737,HHS,staff,0,22,0,22
20210223142737,HES,staff,0,15,0,15
20210223142737,HMS-FWA,staff,0,19,0,19
20210223142737,NGES,staff,0,14,0,14
20210223142737,HMS-FWA,students,0,60,0,60
20210223142737,NGES,students,0,21,0,21
20210223142737,GES,students,4,36,0,32
20210223142737,GMS,students,2,40,0,38
20210223142737,HHS,students,0,81,0,81
20210223142737,HES,students,0,28,0,28
