datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20201124184342,HMS-FWA,staff,1,16,0,15
20201124184342,NGES,staff,0,5,0,5
20201124184342,GES,staff,0,11,0,11
20201124184342,GMS,staff,1,5,0,4
20201124184342,HHS,staff,1,18,0,17
20201124184342,HES,staff,0,12,0,12
20201124184342,HES,students,1,15,0,14
20201124184342,HMS-FWA,students,1,37,0,36
20201124184342,NGES,students,1,17,0,16
20201124184342,GES,students,0,18,0,18
20201124184342,GMS,students,2,22,0,20
20201124184342,HHS,students,3,50,0,47
