datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20201117130702,GES,students,4,18,0,14
20201117130702,GMS,students,0,20,0,20
20201117130702,HHS,students,4,46,0,42
20201117130702,HES,students,1,14,0,13
20201117130702,HMS-FWA,students,1,36,0,35
20201117130702,NGES,students,2,16,0,14
20201117130702,HES,staff,2,12,0,10
20201117130702,HMS-FWA,staff,2,15,0,13
20201117130702,NGES,staff,0,5,0,5
20201117130702,GES,staff,1,11,0,10
20201117130702,GMS,staff,0,4,0,4
20201117130702,HHS,staff,4,17,0,13
