datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210128151813,GMS,students,0,35,0,35
20210128151813,HHS,students,5,78,0,73
20210128151813,HES,students,1,24,0,23
20210128151813,HMS-FWA,students,1,53,0,52
20210128151813,NGES,students,0,21,0,21
20210128151813,GES,students,1,27,0,26
20210128151813,HES,staff,0,15,0,15
20210128151813,HMS-FWA,staff,1,18,0,17
20210128151813,NGES,staff,0,14,0,14
20210128151813,GES,staff,0,16,0,16
20210128151813,GMS,staff,0,7,0,7
20210128151813,HHS,staff,1,22,0,21
