datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20201106092430,HHS,students,8,38,0,30
20201106092430,HES,students,4,9,0,5
20201106092430,HMS-FWA,students,4,33,0,29
20201106092430,NGES,students,3,9,0,6
20201106092430,GES,students,3,12,0,9
20201106092430,GMS,students,1,19,0,18
20201106092430,HMS-FWA,staff,3,13,0,10
20201106092430,NGES,staff,2,5,0,3
20201106092430,GES,staff,3,9,0,6
20201106092430,GMS,staff,0,4,0,4
20201106092430,HHS,staff,3,10,0,7
20201106092430,HES,staff,2,8,0,6
