datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20201014115458,NGES,students,0,4,0,4
20201014115458,GES,students,0,6,1,6
20201014115458,GMS,students,1,14,0,13
20201014115458,HHS,students,2,19,2,17
20201014115458,HES,students,0,4,2,4
20201014115458,HMS-FWA,students,1,25,1,24
20201014115458,HHS,staff,2,4,0,2
20201014115458,HES,staff,1,4,0,3
20201014115458,HMS-FWA,staff,4,9,0,5
20201014115458,NGES,staff,0,2,0,2
20201014115458,GES,staff,0,4,0,4
20201014115458,GMS,staff,0,4,0,4
