datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210111134254,GMS,students,2,33,0,30
20210111134254,HHS,students,3,67,0,64
20210111134254,HES,students,0,23,0,23
20210111134254,HMS-FWA,students,2,51,0,49
20210111134254,NGES,students,2,21,0,19
20210111134254,GES,students,2,25,0,23
20210111134254,GES,staff,1,13,0,12
20210111134254,GMS,staff,0,7,0,7
20210111134254,HHS,staff,0,21,0,21
20210111134254,HES,staff,0,15,0,15
20210111134254,HMS-FWA,staff,0,17,0,17
20210111134254,NGES,staff,2,14,0,12
