datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210105101719,GMS,students,2,30,0,28
20210105101719,HHS,students,1,63,0,62
20210105101719,HES,students,1,23,0,22
20210105101719,HMS-FWA,students,1,49,0,48
20210105101719,NGES,students,2,21,0,19
20210105101719,GES,students,0,22,0,22
20210105101719,HMS-FWA,staff,0,17,0,17
20210105101719,NGES,staff,0,11,0,11
20210105101719,GES,staff,0,12,0,12
20210105101719,GMS,staff,0,7,0,7
20210105101719,HHS,staff,1,21,0,20
20210105101719,HES,staff,2,15,0,13
