datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210107204118,HHS,students,1,65,0,64
20210107204118,HES,students,1,23,0,22
20210107204118,HMS-FWA,students,2,50,0,48
20210107204118,NGES,students,2,21,0,19
20210107204118,GES,students,1,23,0,22
20210107204118,GMS,students,3,32,0,29
20210107204118,GES,staff,0,12,0,12
20210107204118,GMS,staff,0,7,0,7
20210107204118,HHS,staff,0,21,0,21
20210107204118,HES,staff,1,15,0,14
20210107204118,HMS-FWA,staff,0,17,0,17
20210107204118,NGES,staff,2,13,0,11
