datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210126155908,HHS,students,1,74,0,73
20210126155908,HES,students,1,24,0,23
20210126155908,HMS-FWA,students,1,53,0,52
20210126155908,NGES,students,0,21,0,21
20210126155908,GES,students,1,26,0,26
20210126155908,GMS,students,0,35,0,35
20210126155908,HMS-FWA,staff,0,17,0,17
20210126155908,NGES,staff,0,14,0,14
20210126155908,GES,staff,1,16,0,15
20210126155908,GMS,staff,0,7,0,7
20210126155908,HHS,staff,1,22,0,21
20210126155908,HES,staff,0,15,0,15
