datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210216151159,HMS-FWA,students,4,60,0,56
20210216151159,NGES,students,0,21,0,21
20210216151159,GES,students,2,33,0,31
20210216151159,GMS,students,1,38,0,37
20210216151159,HHS,students,0,80,0,80
20210216151159,HES,students,3,28,0,25
20210216151159,HHS,staff,0,22,0,22
20210216151159,HES,staff,0,15,0,15
20210216151159,HMS-FWA,staff,0,19,0,19
20210216151159,NGES,staff,0,14,0,14
20210216151159,GES,staff,0,17,0,17
20210216151159,GMS,staff,0,10,0,10
