datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20201020110816,HMS-FWA,students,3,28,0,25
20201020110816,NGES,students,1,5,0,4
20201020110816,GES,students,0,6,1,6
20201020110816,GMS,students,3,16,0,13
20201020110816,HHS,students,4,21,2,17
20201020110816,HES,students,1,5,2,4
20201020110816,HHS,staff,1,5,0,4
20201020110816,HES,staff,1,4,0,3
20201020110816,HMS-FWA,staff,0,9,0,9
20201020110816,NGES,staff,0,2,0,2
20201020110816,GES,staff,1,5,0,4
20201020110816,GMS,staff,0,4,0,4
