datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210302135436,HMS-FWA,students,0,60,0,60
20210302135436,NGES,students,0,21,0,21
20210302135436,GES,students,1,38,0,37
20210302135436,GMS,students,2,43,0,41
20210302135436,HHS,students,1,82,0,81
20210302135436,HES,students,1,29,0,28
20210302135436,GES,staff,0,17,0,17
20210302135436,GMS,staff,0,10,0,10
20210302135436,HHS,staff,0,22,0,22
20210302135436,HES,staff,2,17,0,15
20210302135436,HMS-FWA,staff,0,19,0,19
20210302135436,NGES,staff,0,14,0,14
