datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210915120001,GMS,staff,0,0,0,0
20210915120001,HHS,staff,1,1,0,0
20210915120001,HES,staff,0,0,0,0
20210915120001,HMS-FWA,staff,0,0,0,0
20210915120001,NGES,staff,0,0,0,0
20210915120001,GES,staff,1,3,0,2
20210915120001,HHS,students,9,12,0,3
20210915120001,HES,students,2,3,0,1
20210915120001,HMS-FWA,students,15,18,0,3
20210915120001,NGES,students,5,7,0,2
20210915120001,GES,students,2,2,0,0
20210915120001,GMS,students,8,9,0,1
