datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210201115417,GMS,students,0,35,0,35
20210201115417,HHS,students,6,79,0,73
20210201115417,HES,students,1,24,0,23
20210201115417,HMS-FWA,students,2,54,0,52
20210201115417,NGES,students,0,21,0,21
20210201115417,GES,students,5,31,0,26
20210201115417,HMS-FWA,staff,1,18,0,17
20210201115417,NGES,staff,0,14,0,14
20210201115417,GES,staff,1,17,0,16
20210201115417,GMS,staff,1,8,0,7
20210201115417,HHS,staff,0,22,0,22
20210201115417,HES,staff,0,15,0,15
