datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210119145000,NGES,students,0,21,0,21
20210119145000,GES,students,2,26,0,24
20210119145000,GMS,students,3,35,0,32
20210119145000,HHS,students,6,73,0,67
20210119145000,HES,students,0,23,0,23
20210119145000,HMS-FWA,students,1,52,0,51
20210119145000,HMS-FWA,staff,0,17,0,17
20210119145000,NGES,staff,0,14,0,14
20210119145000,GES,staff,2,15,0,13
20210119145000,GMS,staff,0,7,0,7
20210119145000,HHS,staff,1,22,0,21
20210119145000,HES,staff,0,15,0,15
