datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20201013121332,GES,students,0,6,1,6
20201013121332,GMS,students,1,14,0,13
20201013121332,HHS,students,1,18,2,17
20201013121332,HES,students,0,4,2,4
20201013121332,HMS-FWA,students,1,25,1,24
20201013121332,NGES,students,0,4,0,4
20201013121332,GMS,staff,0,4,0,4
20201013121332,HHS,staff,1,3,0,2
20201013121332,HES,staff,3,4,0,1
20201013121332,HMS-FWA,staff,4,8,0,4
20201013121332,NGES,staff,0,2,0,2
20201013121332,GES,staff,2,4,0,2
