datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210426173830,GES,students,0,40,0,40
20210426173830,GMS,students,0,46,0,46
20210426173830,HHS,students,0,93,0,93
20210426173830,HES,students,1,30,0,29
20210426173830,HMS-FWA,students,0,60,0,60
20210426173830,NGES,students,2,27,0,26
20210426173830,HHS,staff,0,23,0,23
20210426173830,HES,staff,0,18,0,18
20210426173830,HMS-FWA,staff,0,19,0,19
20210426173830,NGES,staff,0,14,0,14
20210426173830,GES,staff,0,18,0,18
20210426173830,GMS,staff,0,10,0,10
