datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20201102155748,HMS-FWA,staff,3,12,0,9
20201102155748,NGES,staff,1,4,0,3
20201102155748,GES,staff,2,8,0,6
20201102155748,GMS,staff,0,4,0,4
20201102155748,HHS,staff,2,9,0,7
20201102155748,HES,staff,1,6,0,5
20201102155748,HES,students,3,8,0,5
20201102155748,HMS-FWA,students,2,29,0,27
20201102155748,NGES,students,1,6,0,5
20201102155748,GES,students,3,10,0,7
20201102155748,GMS,students,1,19,0,18
20201102155748,HHS,students,6,32,0,26
