datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210105172619,HHS,staff,0,21,0,21
20210105172619,HES,staff,2,15,0,13
20210105172619,HMS-FWA,staff,0,17,0,17
20210105172619,NGES,staff,2,13,0,11
20210105172619,GES,staff,0,12,0,12
20210105172619,GMS,staff,0,7,0,7
20210105172619,HHS,students,1,65,0,64
20210105172619,HES,students,1,23,0,22
20210105172619,HMS-FWA,students,2,50,0,48
20210105172619,NGES,students,2,21,0,19
20210105172619,GES,students,0,22,0,22
20210105172619,GMS,students,2,30,0,28
