datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210309212109,HMS-FWA,students,0,60,0,60
20210309212109,NGES,students,1,22,0,21
20210309212109,GES,students,1,40,0,39
20210309212109,GMS,students,1,44,0,43
20210309212109,HHS,students,1,83,0,82
20210309212109,HES,students,0,29,0,29
20210309212109,HES,staff,1,17,0,16
20210309212109,HMS-FWA,staff,0,19,0,19
20210309212109,NGES,staff,0,14,0,14
20210309212109,GES,staff,0,17,0,17
20210309212109,GMS,staff,0,10,0,10
20210309212109,HHS,staff,0,22,0,22
