datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210203133701,HES,students,0,24,0,24
20210203133701,HMS-FWA,students,2,55,0,53
20210203133701,NGES,students,0,21,0,21
20210203133701,GES,students,5,32,0,27
20210203133701,GMS,students,1,36,0,35
20210203133701,HHS,students,5,79,0,74
20210203133701,HES,staff,0,15,0,15
20210203133701,HMS-FWA,staff,1,18,0,17
20210203133701,NGES,staff,0,14,0,14
20210203133701,GES,staff,1,17,0,16
20210203133701,GMS,staff,1,8,0,7
20210203133701,HHS,staff,0,22,0,22
