datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210405165352,HES,students,0,29,0,29
20210405165352,HMS-FWA,students,0,60,0,60
20210405165352,NGES,students,0,24,0,24
20210405165352,GES,students,0,40,0,40
20210405165352,GMS,students,0,45,0,45
20210405165352,HHS,students,4,88,0,84
20210405165352,HES,staff,1,18,0,17
20210405165352,HMS-FWA,staff,0,19,0,19
20210405165352,NGES,staff,0,14,0,14
20210405165352,GES,staff,0,18,0,18
20210405165352,GMS,staff,0,10,0,10
20210405165352,HHS,staff,1,23,0,22
