datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210505184732,HHS,students,1,94,0,93
20210505184732,HES,students,0,30,0,30
20210505184732,HMS-FWA,students,0,61,0,61
20210505184732,NGES,students,0,28,0,28
20210505184732,GES,students,0,40,0,40
20210505184732,GMS,students,0,46,0,46
20210505184732,HHS,staff,0,23,0,23
20210505184732,HES,staff,0,18,0,18
20210505184732,HMS-FWA,staff,0,19,0,19
20210505184732,NGES,staff,0,14,0,14
20210505184732,GES,staff,0,18,0,18
20210505184732,GMS,staff,0,10,0,10
