datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210201152415,HMS-FWA,students,2,55,0,53
20210201152415,NGES,students,0,21,0,21
20210201152415,GES,students,5,31,0,26
20210201152415,GMS,students,0,35,0,35
20210201152415,HHS,students,6,79,0,73
20210201152415,HES,students,0,24,0,24
20210201152415,HHS,staff,0,22,0,22
20210201152415,HES,staff,0,15,0,15
20210201152415,HMS-FWA,staff,1,18,0,17
20210201152415,NGES,staff,0,14,0,14
20210201152415,GES,staff,1,17,0,16
20210201152415,GMS,staff,1,8,0,7
